StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q2_67_TEXT,Q20,Q20_21_TEXT,Q16,Q16_42_TEXT,Q17,Q19,Q19_9_TEXT,Q18,Q18_6_TEXT,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q4_First Click,Q4_Last Click,Q4_Page Submit,Q4_Click Count,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q6_First Click,Q6_Last Click,Q6_Page Submit,Q6_Click Count,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q8_First Click,Q8_Last Click,Q8_Page Submit,Q8_Click Count,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q10_First Click,Q10_Last Click,Q10_Page Submit,Q10_Click Count,Q12_1,Q12_2,Q12_3,Q12_4,Q12_5,Q12_6,Q12_7,Q12_8,Q12_9,Q12_10,Q13_First Click,Q13_Last Click,Q13_Page Submit,Q13_Click Count
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,What is your current career field? - Selected Choice,What is your current career field? - Other - Text,What industry do you work in? - Selected Choice,What industry do you work in? - Other - Text,In what location do you work? This question is optional. - Selected Choice,In what location do you work? This question is optional. - Other - Text,What is your gender?,What was your undergraduate major? - Selected Choice,What was your undergraduate major? - Other - Text,What is your nation of origin? This is optional. - Selected Choice,What is your nation of origin? This is optional. - Other - Text,Please rate how much you agree with each statement. - I am the life of the party.,Please rate how much you agree with each statement. - I don't talk a lot.,Please rate how much you agree with each statement. - I feel comfortable around people.,Please rate how much you agree with each statement. - I keep in the background.,Please rate how much you agree with each statement. - I start conversations.,Please rate how much you agree with each statement. - I have little to say.,Please rate how much you agree with each statement. - I talk to a lot of different people at parties.,Please rate how much you agree with each statement. - I don't like to draw attention to myself.,Please rate how much you agree with each statement. - I don't mind being the center of attention.,Please rate how much you agree with each statement. - I am quiet around strangers.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree with each statement. - I feel little concern for others.,Please rate how much you agree with each statement. - I am interested in other people.,Please rate how much you agree with each statement. - I insult people.,Please rate how much you agree with each statement. - I sympathize with others' feelings.,Please rate how much you agree with each statement. - I am not interested in other people's problems.,Please rate how much you agree with each statement. - I have a soft heart.,Please rate how much you agree with each statement. - I am not really interested in others.,Please rate how much you agree with each statement. - I take time out for others.,Please rate how much you agree with each statement. - I feel others' emotions.,Please rate how much you agree with each statement. - I make people feel at ease.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree with each statement. - I am always prepared.,Please rate how much you agree with each statement. - I leave my belongings around.,Please rate how much you agree with each statement. - I pay attention to details.,Please rate how much you agree with each statement. - I make a mess of things.,Please rate how much you agree with each statement. - I get chores done right away.,Please rate how much you agree with each statement. - I often forget to put things back in their proper place.,Please rate how much you agree with each statement. - I like order.,Please rate how much you agree with each statement. - I shirk my duties.,Please rate how much you agree with each statement. - I follow a schedule.,Please rate how much you agree with each statement. - I am exacting in my work.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree with each statement. - I get stressed out easily.,Please rate how much you agree with each statement. - I am relaxed most of the time.,Please rate how much you agree with each statement. - I worry about things.,Please rate how much you agree with each statement. - I seldom feel blue.,Please rate how much you agree with each statement. - I am easily disturbed.,Please rate how much you agree with each statement. - I get upset easily.,Please rate how much you agree with each statement. - I change my mood a lot.,Please rate how much you agree with each statement. - I have frequent mood swings.,Please rate how much you agree with each statement. - I get irritated easily.,Please rate how much you agree with each statement. - I often feel blue.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Please rate how much you agree with each statement. - I have a rich vocabulary.,Please rate how much you agree with each statement. - I have difficulty understanding abstract ideas.,Please rate how much you agree with each statement. - I have a vivid imagination.,Please rate how much you agree with each statement. - I am not interested in abstract ideas.,Please rate how much you agree with each statement. - I have excellent ideas.,Please rate how much you agree with each statement. - I do not have a good imagination.,Please rate how much you agree with each statement. - I am quick to understand things.,Please rate how much you agree with each statement. - I use difficult words.,Please rate how much you agree with each statement. - I spend time reflecting on things.,Please rate how much you agree with each statement. - I am full of ideas.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID2_67_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID20_21_TEXT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_42_TEXT""}","{""ImportId"":""QID17""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_9_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_6_TEXT""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID4_FIRST_CLICK""}","{""ImportId"":""QID4_LAST_CLICK""}","{""ImportId"":""QID4_PAGE_SUBMIT""}","{""ImportId"":""QID4_CLICK_COUNT""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID5_3""}","{""ImportId"":""QID5_4""}","{""ImportId"":""QID5_5""}","{""ImportId"":""QID5_6""}","{""ImportId"":""QID5_7""}","{""ImportId"":""QID5_8""}","{""ImportId"":""QID5_9""}","{""ImportId"":""QID5_10""}","{""ImportId"":""QID6_FIRST_CLICK""}","{""ImportId"":""QID6_LAST_CLICK""}","{""ImportId"":""QID6_PAGE_SUBMIT""}","{""ImportId"":""QID6_CLICK_COUNT""}","{""ImportId"":""QID9_1""}","{""ImportId"":""QID9_2""}","{""ImportId"":""QID9_3""}","{""ImportId"":""QID9_4""}","{""ImportId"":""QID9_5""}","{""ImportId"":""QID9_6""}","{""ImportId"":""QID9_7""}","{""ImportId"":""QID9_8""}","{""ImportId"":""QID9_9""}","{""ImportId"":""QID9_10""}","{""ImportId"":""QID8_FIRST_CLICK""}","{""ImportId"":""QID8_LAST_CLICK""}","{""ImportId"":""QID8_PAGE_SUBMIT""}","{""ImportId"":""QID8_CLICK_COUNT""}","{""ImportId"":""QID11_1""}","{""ImportId"":""QID11_2""}","{""ImportId"":""QID11_3""}","{""ImportId"":""QID11_4""}","{""ImportId"":""QID11_5""}","{""ImportId"":""QID11_6""}","{""ImportId"":""QID11_7""}","{""ImportId"":""QID11_8""}","{""ImportId"":""QID11_9""}","{""ImportId"":""QID11_10""}","{""ImportId"":""QID10_FIRST_CLICK""}","{""ImportId"":""QID10_LAST_CLICK""}","{""ImportId"":""QID10_PAGE_SUBMIT""}","{""ImportId"":""QID10_CLICK_COUNT""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID12_6""}","{""ImportId"":""QID12_7""}","{""ImportId"":""QID12_8""}","{""ImportId"":""QID12_9""}","{""ImportId"":""QID12_10""}","{""ImportId"":""QID13_FIRST_CLICK""}","{""ImportId"":""QID13_LAST_CLICK""}","{""ImportId"":""QID13_PAGE_SUBMIT""}","{""ImportId"":""QID13_CLICK_COUNT""}"
9/11/2020 11:02,9/11/2020 11:04,Survey Preview,,100,120,TRUE,9/11/2020 11:04,R_2zcrYrX7tJXXGWs,,,,,40.44439697,-86.92559814,preview,EN,1,,,,,,,,,,,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,13.668,54.473,56.384,10,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,1.745,9.662,10.552,11,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0.844,7.334,8.747,10,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0.79,5.756,8.592,10,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,0.77,6.753,8.22,10
9/15/2020 21:55,9/15/2020 21:59,IP Address,72.12.206.156,100,238,TRUE,9/15/2020 21:59,R_3g1NL689XqGRbqS,,,,,40.44439697,-86.92559814,anonymous,EN,Data Scientist/Engineer,,Other,Recruitment,Other,Remote,Male,Engineering,,India,,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Neutral,8.299,43.237,43.901,13,Disagree,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,3.163,36.71,37.592,13,Neutral,Neutral,Somewhat Agree,Somewhat Disagree,Agree,Neutral,Agree,Neutral,Neutral,Somewhat Agree,5.116,37.93,39.494,14,Somewhat Agree,Neutral,Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,1.952,30.843,31.652,13,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,2.088,35.24,35.874,14
9/15/2020 21:55,9/15/2020 22:00,IP Address,66.253.158.22,100,321,TRUE,9/15/2020 22:00,R_1ZahsNhGJQ968Kd,,,,,40.44439697,-86.92559814,anonymous,EN,Data Scientist/Engineer,,Finance,,"New York, NY",,Male,Engineering,,India,,Somewhat Agree,Neutral,Somewhat Agree,Disagree,Somewhat Agree,Disagree,Neutral,Disagree,Somewhat Agree,Disagree,8.819,110.1,112.041,12,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Somewhat Agree,Somewhat Agree,Agree,2.886,33.198,33.94,12,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Agree,Agree,10.422,42.353,43.078,13,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Somewhat Disagree,Disagree,1.989,29.332,31.073,11,Neutral,Disagree,Somewhat Disagree,Disagree,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,3.469,33.495,34.634,12
9/15/2020 21:57,9/15/2020 22:01,IP Address,66.253.158.21,100,245,TRUE,9/15/2020 22:01,R_1QAPemgTVwGtJhz,,,,,40.44439697,-86.92559814,anonymous,EN,Business Intelligence,,Technology,,"New York, NY",,Male,Engineering,,India,,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Agree,6.162,44.405,45.53,13,Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Agree,Somewhat Disagree,6.031,38.026,39.08,16,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Somewhat Agree,Agree,4.001,44.331,45.952,13,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,10.701,34.704,35.671,13,Somewhat Agree,Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,Somewhat Agree,5.042,25.851,26.643,12
9/15/2020 22:00,9/15/2020 22:04,IP Address,208.59.152.170,100,238,TRUE,9/15/2020 22:04,R_1otKjDXbf2JTrvs,,,,,41.81829834,-87.60949707,anonymous,EN,Consultant,,Finance,,"New York, NY",,Male,Engineering,,India,,Somewhat Agree,Disagree,Agree,Neutral,Agree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,13.026,50.577,51.556,15,Disagree,Agree,Disagree,Agree,Neutral,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Agree,9.304,42.706,43.415,12,Neutral,Somewhat Agree,Agree,Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,Agree,10.579,50.213,50.892,13,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,3.763,24.974,25.879,10,Neutral,Disagree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Somewhat Agree,Agree,3.562,31.117,31.782,10
9/15/2020 22:01,9/15/2020 22:04,IP Address,66.253.158.21,100,209,TRUE,9/15/2020 22:05,R_2abr6GJnbcHbtLI,,,,,40.44439697,-86.92559814,anonymous,EN,Data Scientist/Engineer,,Technology,,Other,"Fairfax, VA",Male,Engineering,,India,,Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Disagree,Neutral,Disagree,2.301,36.16,37.204,16,Agree,Agree,Disagree,Agree,Disagree,Agree,Disagree,Agree,Agree,Agree,2.8,22.692,23.582,14,Agree,Disagree,Agree,Disagree,Agree,Somewhat Disagree,Agree,Disagree,Agree,Neutral,1.102,22.74,23.69,15,Agree,Somewhat Disagree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,Somewhat Agree,Agree,Somewhat Agree,Somewhat Disagree,1.302,25.019,25.648,20,Agree,Somewhat Disagree,Agree,Disagree,Agree,Agree,Agree,Somewhat Disagree,Agree,Agree,7.001,27.166,27.844,17
9/15/2020 22:01,9/15/2020 22:06,IP Address,47.204.230.11,100,281,TRUE,9/15/2020 22:06,R_1mW6EuPGDxvXNrB,,,,,28.22380066,-82.45490265,anonymous,EN,Consultant,,Finance,,,,Male,Other,Mining Engineering ,India,,Somewhat Agree,Somewhat Agree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Disagree,Agree,Somewhat Disagree,Agree,8.891,59.691,60.748,19,Agree,Neutral,Disagree,Agree,Somewhat Disagree,Agree,Somewhat Disagree,Neutral,Somewhat Agree,Neutral,3.189,29.165,30.058,13,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Agree,Somewhat Disagree,Somewhat Agree,Neutral,2.809,41.667,41.712,20,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Disagree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Disagree,Somewhat Agree,1.267,58.566,60.09,27,Neutral,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Disagree,Agree,Disagree,Somewhat Disagree,Agree,2.945,36.826,37.94,16
9/15/2020 22:02,9/15/2020 22:06,IP Address,122.96.40.175,100,230,TRUE,9/15/2020 22:06,R_NWuss78PajcnUEV,,,,,32.06170654,118.7778015,anonymous,EN,Business Intelligence,,Finance,,Prefer to not respond,,Female,Other Business,,China,,Somewhat Disagree,Neutral,Neutral,Somewhat Disagree,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,5.712,38.787,39.608,13,Neutral,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Somewhat Disagree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,Neutral,5.667,30.677,45.797,14,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Agree,Neutral,Neutral,Neutral,3.743,28.457,29.234,12,Neutral,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Neutral,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,Somewhat Disagree,3.511,27.481,28.326,15,Somewhat Disagree,Somewhat Disagree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Disagree,Somewhat Agree,Neutral,Somewhat Agree,Neutral,2.353,29.054,29.718,16
